country,country3,HDIrank,HDIindex,HDI_cat,SPI,happiness,genderequality_index,birth_MF,sixty_MF,GDP_USD_2018,hoursworked,incomeineq,infantmort,oophcspend,tertiaryed
Somalia,SOM,NA,NA,NA,NA,4.667941093444824,NA,55.4,16.3,6752653099,NA,NA,NA,NA,NA
South Africa,ZAF,113,0.6957324537270522,Medium,65.17,4.769739627838135,0.76392874853262704,63.6,16.6,295763e6,NA,0.62,NA,NA,6.9798017
South Korea,KOR,22,0.9003574927047293,Very high,85.37,5.970564365386963,0.648623043995878,82.7,25.3,14148e8,2071,0.295,2.8,895.29,46.643951
South Sudan,SSD,187,0.39419858515913664,Low,NA,2.8881123065948486,NA,58.6,16.6,2904114903,NA,NA,NA,NA,NA
Spain,ESP,26,0.8888670933931713,Very high,86.72,6.318612098693848,0.73844911467769003,83.1,25.4,123726e7,1701.4,0.345,2.7,775.958,35.693489
Sri Lanka,LKA,76,0.7680774417416489,High,66.96,NA,0.67328691825758402,75.3,20.8,81788375090,NA,NA,NA,NA,NA
St. Kitts & Nevis,KNA,72,0.7742416409955692,High,NA,NA,NA,NA,NA,909854629.6,NA,NA,NA,NA,NA
St. Lucia,LCA,90,0.7450081483378872,High,NA,NA,NA,75.6,22.1,1667078704,NA,NA,NA,NA,NA
St. Vincent & Grenadines,VCT,99,0.7214874854174388,High,NA,NA,NA,72,19.1,765555555.6,NA,NA,NA,NA,NA
Sudan,SDN,167,0.49907484550558273,Low,37.36,NA,NA,65.1,17.9,95584380032,NA,NA,NA,NA,NA
Suriname,SUR,100,0.7194555094428272,High,66.49,NA,0.67855245951722698,71.8,19.2,3278425328,NA,NA,NA,NA,NA
Swaziland,SWZ,144,0.5861528551179647,Medium,48.55,NA,0.66546017732640395,57.7,16,3720649375,NA,NA,NA,NA,NA
Sweden,SWE,7,0.9315839061660123,Very high,88.63,7.368744373321533,0.81541285269191099,82.4,24.6,51446e7,1626,0.278,2.5,815.183,41.139179
Switzerland,CHE,2,0.9431886822134562,Very high,89.04,7.45851993560791,0.77589080275205602,83.3,25.5,668745e6,1590,0.296,3.6,2312.928,41.235474
Syria,SYR,155,0.5356407978551503,Low,NA,NA,0.56731064399900499,63.8,18.5,NA,NA,NA,NA,NA,NA
Taiwan,TWN,NA,NA,NA,NA,6.512850761413574,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tajikistan,TJK,127,0.6468118707664386,Medium,52.15,5.1037211418151855,0.679321271359005,70.8,17.7,6951657159,NA,NA,NA,NA,NA
Tanzania,TZA,154,0.5331760337662841,Low,49.9,2.9027342796325684,0.71572599005973303,63.9,17.5,47388395823,NA,NA,NA,NA,NA
Thailand,THA,83,0.7480499005885282,High,66.72,6.073639869689941,0.69906464025440296,75.5,22.1,411755e6,NA,NA,NA,NA,NA
Timor-Leste,TLS,132,0.6314324501631974,Medium,53.57,NA,0.63666229289998799,68.6,17.1,2521007679,NA,NA,NA,NA,NA
Togo,TGO,165,0.5001598768952389,Low,46.49,3.8785784244537354,NA,60.6,15.3,4388569576,NA,NA,NA,NA,NA
Tonga,TON,98,0.7236502962647889,High,NA,NA,NA,73.4,18.9,401562006.2,NA,NA,NA,NA,NA
Trinidad & Tobago,TTO,69,0.7845785777192777,High,NA,NA,0.722917450192194,71.8,19.6,22320008403,NA,NA,NA,NA,NA
Tunisia,TUN,95,0.7323536768876926,High,71.74,4.521453380584717,0.63591670124323696,76,20.1,42062549395,NA,NA,NA,NA,NA
Turkey,TUR,64,0.7868511547990595,High,67.26,5.326221942901611,0.62302663679498804,76.4,21.2,863722e6,NA,0.404,10,179.887,19.362528
Turkmenistan,TKM,108,0.7045414282539293,High,NA,5.887051582336426,NA,68.2,17.4,36179885714,NA,NA,NA,NA,NA
Tuvalu,TUV,NA,NA,NA,NA,NA,NA,NA,NA,36572611.89,NA,NA,NA,NA,NA
Uganda,UGA,162,0.5081062616428281,Low,NA,4.2332611083984375,0.70367006601829796,62.5,17.1,24078931744,NA,NA,NA,NA,NA
Ukraine,UKR,88,0.7460888804361642,High,67.57,4.028690338134766,0.69981175898432801,72.5,19.1,93270479389,NA,NA,NA,NA,NA
